th,en
โอเค บอกฉันได้ว่าต้องการให้ช่วยอะไร,OK. Let me know how I can help
ฉันสามารถแสดงให้คุณเห็นข่าวล่าสุดเกี่ยวกับไวรัส Covid-19 ในบริเวณนี้,I can show you local news updates about the COVID-19 virus
ฉันสามารถเชื่อมโยงข้อมูลล่าสุดจาก CDC เกี่ยวกับการระบาดทั่วโลกนี้,I can link you to the latest information from the CDC about the pandemic.
คุณสามารถขอคุยกับตัวแทนได้,You could also ask me to connect you to an agent.
นี่คือผลลัพธ์จากการค้นหาจาก Watson Discovery,Here's some search result from Watson Discovery
คุณหมายถึง,Did you mean
มีสิ่งที่คุณอยากรู้เกี่ยวกับ Covid-19 อีกไหม ?,Anything other COVID-19 information that you are seeking?
คุณต้องการข้อมูลอะไรอย่างอื่นเกี่ยวกับ Covid-19 อีกไหม ?,What other COVID-19 information can I provide?
ใช่แล้ว นั่นคือสิ่งที่ฉันต้องการ,Affirmative. That's what I'm looking for.
หลังจากหายจาก Covid19 แล้ว ฉันยังต้องกักตัวต่ออีกไหม ?,"After recovering from COVID19, do I continue to self isolate ?"
การเดินทางโดยเครื่องบิน,airline travel
ข้อมูลสายการบิน,airlines information
ร้านขายทุกร้อนไม่่มีน้ำยาฆ่าเชื้อ ฉันต้องทำยังไง ?,"All the stores are out of disinfecting wipes, what do I do?"
ฉันสามารถไปยังสวนในช่วยกักกันตัวเองได้ไหม,Am I allowed to go to my garden in quarantine ?
ฉันสามารถรวมกลุ่มกับคนอื่นได้หรือไม่ ?,Am I allowed to have gatherings ?
ฉันสามารถชวนเพื่อนมาหาได้ไหม ?,Am I allowed to have friends over ?
ฉันคุยกับคนอยู่หรือเปล่า ?,Am I chatting with a human?
ฉันป่วยไหม,am i sick
ฉันคุยกับบอทหรือเปล่า ?,Am I talking to a Bot?
ฉันคุยกับคน หรือฉันกำลังคุยกับบอทกันแน่ ?,Am I talking to a person or am I talking to an AI?
ขอมุกเพิ่ม,Another joke
มีใครอยู่ไหม ?,Anyone there?
